Scientific Name,Matched Scientific Name,Revised.CTDB.name,Latitude - original,Longitude - original,Year - parsed,turbidity,highSST,lowSST,meanSST,waveenergy
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-10.766,143.983,1983,0.09077215,27.96,24.68,26.46,0.016214
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-18.567,146.48,1983,0.09267254,28.81,22.16,25.74,0.033358
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-18.772,146.532,1983,0.11222704,28.619999,21.779999,25.599998,0.043329
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-23.627,152.181,1983,0.05991871,26.859999,21.55,24.13,0.017618
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-16.28,149.96,1983,0.027516393,28.46,24.42,26.47,
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-14.688,145.468,1983,0.05905779,28.34,23.689999,26.109999,0.190269
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-12.992,143.858,1983,0.072858445,27.939999,24.47,26.38,0.038934
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-18.232,146.638,1983,0.05736161,28.48,23.24,25.88,0.0263
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-13.246,143.958,1983,0.06352097,27.98,24.46,26.33,
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-19.333,158.666,1983,0.03431332,27.699999,23.55,25.609999,
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-11.592,144.031,1983,0.073148206,27.91,24.539999,26.4,0.187238
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-20.966,150.083,1983,0.05858842,28.08,21.63,25.09,0.141905
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-11.739,144.101,1983,0.07918236,28.119999,24.529999,26.43,
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-18.659,146.511,1983,0.10684275,,,,0.033358
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-18.661,146.56,1983,0.06353092,28.63,22.23,25.71,0.044006
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-11.694,144.028,1983,0.062372394,28,24.6,26.449999,0.158486
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-18.6,146.483,1983,0.09267254,28.689999,22.09,25.699999,0.033358
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-17.41,155.878,1983,0.030428972,28.4,24.359999,26.38,
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-18.56,146.49,1983,0.09267254,,,,0.033358
