Name,Scientific.Name,locality,Latitude - processed,Longitude - processed,Coordinate Uncertainty in Metres - parsed,IMCRA Region - parsed,State - parsed,Year - parsed,coordinate Uncertainty In Meters,Data Resource ID
"Trachyphyllia geoffroyi (Audouin, 1826)",Trachyphyllia.geoffroyi,"Thursday Island, SW corner",-10.59,142.2,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Turbinaria bifrons Bruggemann, 1877",Turbinaria.bifrons,"Thursday Island, SW corner",-10.59,142.2,5000,Northern Shelf Province,Queensland,1979,5000,dr684
"Turbinaria peltata (Esper, 1794)",Turbinaria.peltata,"Thursday Island, SW corner",-10.59,142.2,5000,Northern Shelf Province,Queensland,1979,5000,dr684
"Turbinaria reniformis Bernard, 1896",Turbinaria.reniformis,"North West Reef, S side",-10.483,142.2,3000,Northern Shelf Province,Queensland,1979,3000,dr684
"Acropora (Acropora) lutkeni Crossland, 1952",Acropora.lutkeni,"Thursday Island, SW edge",-10.589,142.209,1000,Northern Shelf Province,Queensland,1983,1000,dr684
"Echinophyllia aspera (Ellis & Solander, 1786)",Echinophyllia.aspera,"Thursday Island, SW edge",-10.589,142.209,1000,Northern Shelf Province,Queensland,1979,1000,dr684
Echinophyllia orpheensis nom. nov.,Echinophyllia.orpheensis,"Thursday Island, SW edge",-10.589,142.209,1000,Northern Shelf Province,Queensland,1979,1000,dr684
"Heliofungia actiniformis (Quoy & Gaimard, 1833)",Heliofungia.actiniformis,"Thursday Island, SW edge",-10.589,142.209,1000,Northern Shelf Province,Queensland,1979,1000,dr684
"Oxypora lacera (Verrill, 1864)",Oxypora.lacera,"Thursday Island, SW edge",-10.589,142.209,1000,Northern Shelf Province,Queensland,1979,1000,dr684
"Turbinaria mesenterina (Lamarck, 1816)",Turbinaria.mesenterina,"Thursday Island, SW edge",-10.589,142.209,1000,Northern Shelf Province,Queensland,1979,1000,dr684
"Acropora (Acropora) pulchra (Brook, 1891)",Acropora.pulchra,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1983,5000,dr684
"Alveopora allingi Hoffmeister, 1925",Alveopora.allingi,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1981,5000,dr684
"Catalaphyllia jardinei (Saville-Kent, 1893)",Catalaphyllia.jardinei,"Jervis Reef, NE and E side",-9.99,142.23,2500,Northeast Shelf Transition,Queensland,1979,2500,dr684
"Cyphastrea microphthalma (Lamarck, 1816)",Cyphastrea.microphthalma,"Thursday Island, E end",-10.57,142.23,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Echinophyllia aspera (Ellis & Solander, 1786)",Echinophyllia.aspera,"Jervis Reef, NE and E side",-9.99,142.23,2500,Northeast Shelf Transition,Queensland,1979,2500,dr684
