Scientific Name,Matched Scientific Name,Revised CTDB name,,Species - matched,locality,Latitude - original,Longitude - original,Year - parsed,el 954 chl,el 2097 salinity max,el 2096 salinity min,el 955 temp,el 947 turb
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,"Wistari Reef, in channel adjacent to Heron Is",-23.449,151.905,1979,0.37790072,35.71,35.1,24.34621,0.06308836
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,Swain Reef,-21.5,152.416,1979,0.49115217,35.54,35.12,25.386366,0.06887172
"Acanthastrea hillae Wells, 1955",Acanthastrea hillae,Homophyllia hillae,,Acanthastrea hillae,"Lagoon 'passages', LORD HOWE ISLAND",-31.539,159.061,1979,0.2158995,35.7,35.61,21.216055,0.044356234
"Acanthastrea hillae Wells, 1955",Acanthastrea hillae,Homophyllia hillae,,Acanthastrea hillae,"Northern and eastern bays and promontories, LORD HOWE ISLAND",-31.466,159.15,1979,0.19233921,35.7,35.61,21.288193,0.043319993
"Acanthastrea hillae Wells, 1955",Acanthastrea hillae,Homophyllia hillae,,Acanthastrea hillae,"Dewar Island (Murray Islands), S side",-9.918,144,1979,0.71387374,35.11,34.29,26.946064,0.09150131
"Acanthastrea hillae Wells, 1955",Acanthastrea hillae,Homophyllia hillae,,Acanthastrea hillae,"Bewick Island, NE corner",-14.4251,144.8154,1979,0.6497173,35.42,34.68,26.18764,0.08600134
Acanthastrea lordhowensis,Acanthastrea lordhowensis,Micromussa lordhowensis,,Acanthastrea lordhowensis,"The lagoon, LORD HOWE ISLAND",-31.529,159.061,1979,0.2158995,35.7,35.6,21.227112,0.044356234
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Pandora Reef, S side",-18.814,146.432,1983,2.0620704,35.579998,34.45,25.927185,0.16435862
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Britomart Reef, S side",-18.232,146.638,1983,0.3459876,35.54,34.53,26.272865,0.05736161
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,Tijou Reef S end,-13.246,143.958,1983,0.39787814,35.399998,34.79,26.639708,0.06352097
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Bennett Island (Passage Islet), Chesterfield Atoll",-19.333,158.666,1983,0.1347396,35.3,34.93,25.76719,0.03431332
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,Raine Island SW side,-11.592,144.031,1983,0.49862403,35.37,34.69,26.641857,0.073148206
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,Bushy Island-Redbill Reef,-20.966,150.083,1983,0.36793962,35.579998,34.98,25.355349,0.05858842
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,Great Detached Reef,-11.739,144.101,1983,0.644344,35.39,34.71,26.781054,0.07918236
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Fantome Island (Palm Islands), N and NW sides",-18.659,146.511,1983,0.95908695,,,25.8367,0.10684275
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Curacao Island, Palm Islands, N. Side",-18.661,146.56,1983,0.41033953,35.57,34.48,25.918518,0.06353092
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,Great Detached Reef,-11.694,144.028,1983,0.48999563,35.38,34.7,26.695108,0.062372394
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Orpheus Island (Palm Islands), W side",-18.6,146.483,1983,0.76855814,35.559998,34.469997,25.941769,0.09267254
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Mellish Reef, E side",-17.41,155.878,1983,0.10452842,35.2,34.88,26.629068,0.030428972
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,Tijou Reef,-13.166,143.95,1983,0.6841327,35.42,34.79,26.593689,0.08185032
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Musgrave Reef, NE side",-23.886,152.424,1983,0.63025403,35.63,35.12,24.532978,0.069237836
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora aculeus,Acropora aculeus,,Acropora (Acropora) aculeus,"Sir Charles Hardy Islands, NW side",-11.914,143.473,1983,1.5088648,35.399998,34.63,27.015633,0.12490065
