Record ID,Scientific Name,Matched.Scientific.Name,Revised CTDB name,Taxon Rank - matched,Species - matched,locality,Latitude - original,Longitude - original,Coordinate Uncertainty in Metres - parsed,Collector,Outlier for layer,Taxon identification issue,Data Resource ID,Data Resource Name,Suspected outlier,geodetic Datum Assumed Wgs 84,Habitat incorrect for species,Homonym issues with supplied name,incomplete Collection Date,inferred Duplicate Record,Name not in national checklists,Name not recognised
1912fd5b-7e7c-403c-9a92-f6684279ae9d,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Nara Inlet, Hook Island, Whitsunday Islands, S side of entrance",-20.147,148.904,300,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1dbd52d7-5368-45d5-abf1-a3cdc5ee03eb,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Lizard Island lagoon, SW entrance near Bird Islet",-14.688,145.468,1000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
215c42e2-ee0e-4eb4-9884-cb8b65a21a20,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,Between Orpheus and Fantome Islands (Palm Islands),-18.657,146.503,300,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
283eb6e0-600d-4fbc-a719-4c0c1e1b79f7,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Bullumbooroo Bay, Great Palm Island",-18.693,146.596,500,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2855e0f6-6d36-4ed3-92c8-c49afaf8d137,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Frigate Cay, Swain Reef, NW side",-21.737,152.415,250000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
543d60d9-37db-496d-8196-e10a90a4f9d0,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Pompey Complex, W side of a major channel near seaward exit",-20.975,150.515,3000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
564a1b25-ba25-43a1-8e7d-d6b45114656a,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Bewick Island, NE corner",-14.4251,144.8154,300,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
5d276690-73f5-4d9a-ae92-597f2b96bbeb,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Lizard Island, NE side",-14.65,145.462,1500,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
5e8bfc4e-239e-4fd1-9614-750e521dd459,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Fantome Island (Palm Islands), N and NW sides",-18.659,146.511,500,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
65eef3a1-443e-4486-86b4-736f66024ee5,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Pompey Complex, SW side",-21.013,150.508,4000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
