"species","site","present","Latitude","Longitude","stdev","SST_p50","Chl_50p","skewnes","TSM_50P","PAR_50P","Calcification.rate","Colony.maximum.diameter","Corallite.width.maximum","Growth.form.typical","Growth.rate","Polyps.per.area","Skeletal.density","Skeletal.micro.density","molefam","morphfam"
"Acropora aspera",211,0,-38.1,144.88,3.39820861816406,15.6750001907349,1.41957938671112,0.0980828776955605,0.781960725784302,33.2325057983398,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",89,0,-17.416,155.866,1.58217740058899,26.5481262207031,0.116096213459969,0.0522535629570484,0.322489678859711,46.1655120849609,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",221,0,-17.412,155.851,1.58217740058899,26.5481262207031,0.116096213459969,0.0522535629570484,0.322489678859711,46.1655120849609,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",162,0,-19.121,146.878,2.75865197181702,26.3231258392334,NA,-0.160702869296074,NA,45.8875312805176,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",183,0,-9.361,144.098,1.69445192813873,27.5268745422363,0.417715460062027,-0.100527994334698,0.411065548658371,45.4683303833008,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",205,0,-16.388,145.557,2.34729933738708,26.6268749237061,0.438577175140381,-0.0477329306304455,0.822582960128784,45.5086402893066,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",157,0,-17.399,155.875,1.5945657491684,26.5481262207031,0.153583988547325,0.0314838029444218,0.358908116817474,46.8732147216797,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",21,0,-14.597,145.623,1.79454779624939,26.6268749237061,0.153619319200516,0.0413377247750759,0.38835197687149,47.121639251709,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",59,0,-18.68,146.59,2.50007009506226,26.4750003814697,0.476219683885574,-0.155425563454628,0.893917381763458,44.0809783935547,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",150,0,-9.755,143.846,1.65008819103241,27.4481258392334,0.542775630950928,-0.163947969675064,0.465934455394745,45.211498260498,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",196,0,-23.63,152.15,2.15542912483215,24.5231246948242,0.320773035287857,0.0512040965259075,0.477597564458847,45.5868453979492,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",219,0,-10.067,143.167,1.90304446220398,27.4481258392334,1.50688064098358,-0.0273537449538708,2.57499742507935,43.7829208374023,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",123,0,-23.7,152.183,2.16615676879883,24.4500007629395,0.314771890640259,0.0755935981869698,0.481332540512085,45.5513801574707,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",24,0,-18.6,146.483,2.58937573432922,26.4750003814697,0.484263122081757,-0.148054257035255,0.933936953544617,44.8490715026855,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",139,0,-20.269,149.045,2.4920494556427,25.7268753051758,NA,-0.168874353170395,NA,43.1616897583008,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",178,0,-18.71,146.57,2.50007009506226,26.4750003814697,0.476219683885574,-0.155425563454628,0.893917381763458,44.0809783935547,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",10,0,-18.659,146.511,2.51219177246094,26.4750003814697,0.477738916873932,-0.163214430212975,0.930404782295227,44.8490715026855,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",182,0,-9.91,144,1.60931742191315,27.2231254577637,0.535527586936951,-0.165675476193428,0.449317455291748,45.2118492126465,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",43,0,-13.166,143.95,1.77060151100159,26.7000007629395,2.72446465492249,0.00456530461087823,2.11965990066528,46.0726013183594,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",85,0,-11.587,144.031,1.69002532958984,26.7731246948242,1.5987297296524,-0.0347010754048824,2.21968674659729,45.4127006530762,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",153,0,-14.925,145.702,1.94577372074127,26.6268749237061,0.155867964029312,-1.08679711818695,0.398507475852966,46.6730461120605,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",98,0,-9.918,144.03,1.59889137744904,27.2231254577637,0.524091303348541,-0.157918184995651,0.440551221370697,45.2118492126465,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",19,0,-21.013,150.508,2.30987906455994,25.5018749237061,0.303851902484894,-0.0899380370974541,0.432930707931519,47.2387809753418,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",124,0,-21.013,150.516,2.29700446128845,25.5018749237061,0.344124764204025,-0.0979071855545044,0.451152443885803,47.2387809753418,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
