trait,master_species,value
substrate_attachment,Acropora.secale,attached
substrate_attachment,Acropora.sekiseiensis,attached
substrate_attachment,Acropora.selago,attached
substrate_attachment,Acropora.seriata,attached
substrate_attachment,Acropora.simplex,attached
substrate_attachment,Acropora.solitaryensis,attached
substrate_attachment,Acropora.sordiensis,attached
substrate_attachment,Acropora.spathulata,attached
substrate_attachment,Acropora.speciosa,attached
substrate_attachment,Acropora.spicifera,attached
substrate_attachment,Acropora.squarrosa,attached
substrate_attachment,Acropora.stoddarti,attached
substrate_attachment,Acropora.striata,attached
substrate_attachment,Acropora.subglabra,attached
substrate_attachment,Acropora.subulata,attached
substrate_attachment,Acropora.suharsonoi,attached
substrate_attachment,Acropora.sukarnoi,attached
substrate_attachment,Acropora.surculosa,attached
substrate_attachment,Acropora.tanegashimensis,attached
substrate_attachment,Acropora.tenella,attached
substrate_attachment,Acropora.tenuis,attached
substrate_attachment,Acropora.teres,attached
substrate_attachment,Acropora.tizardi,attached
substrate_attachment,Acropora.togianensis,attached
substrate_attachment,Acropora.torihalimeda,attached
substrate_attachment,Acropora.torresiana,attached
substrate_attachment,Acropora.tortuosa,attached
substrate_attachment,Acropora.tumida,attached
substrate_attachment,Acropora.turaki,attached
substrate_attachment,Acropora.tutuilensis,attached
substrate_attachment,Acropora.valenciennesi,attached
substrate_attachment,Acropora.valida,attached
substrate_attachment,Acropora.variabilis,attached
substrate_attachment,Acropora.variolosa,attached
substrate_attachment,Acropora.vaughani,attached
substrate_attachment,Acropora.vermiculata,attached
substrate_attachment,Acropora.verweyi,attached
substrate_attachment,Acropora.walindii,attached
substrate_attachment,Acropora.wallaceae,attached
substrate_attachment,Acropora.willisae,attached
substrate_attachment,Acropora.yongei,attached
substrate_attachment,Agaricia.agaricites,attached
substrate_attachment,Agaricia.fragilis,attached
substrate_attachment,Agaricia.grahamae,attached
substrate_attachment,Agaricia.humilis,attached
substrate_attachment,Agaricia.lamarcki,attached
substrate_attachment,Agaricia.tenuifolia,attached
substrate_attachment,Agaricia.undata,attached
substrate_attachment,Alveopora.allingi,attached
substrate_attachment,Alveopora.catalai,attached
substrate_attachment,Alveopora.daedalea,attached
substrate_attachment,Alveopora.excelsa,attached
substrate_attachment,Alveopora.fenestrata,attached
substrate_attachment,Alveopora.gigas,attached
substrate_attachment,Alveopora.japonica,attached
substrate_attachment,Alveopora.marionensis,attached
