Scientific Name,Matched Scientific Name,Revised.CTDB.name,Species - matched,Latitude - original,Longitude - original,Coordinate Uncertainty in Metres - parsed,Year - parsed,wave power,marspec_var,marspec_SST,MODIS_SST,turbidity,,,
"Pachyseris speciosa (Dana, 1846)",Pachyseris speciosa,Pachyseris speciosa,Pachyseris speciosa,-18.776,146.6667,300,1979,0.033244,5.3694,25.63,25.904774,,,,
"Platygyra daedalea (Ellis & Solander, 1786)",Platygyra daedalea,Platygyra daedalea,Platygyra daedalea,-18.776,146.6667,300,1976,0.033244,5.3694,25.63,25.904774,,,,
"Platygyra pini Chevalier, 1975",Platygyra pini,Platygyra pini,Platygyra pini,-18.776,146.6667,300,1976,0.033244,5.3694,25.63,25.904774,,,,
"Porites (Porites) lichen Dana, 1846",Porites (Porites) lichen,Porites lichen,Porites (Porites) lichen,-18.776,146.6667,300,1981,0.033244,5.3694,25.63,25.904774,,,,
"Scapophyllia cylindrica (Edwards & Haime, 1848)",Scapophyllia cylindrica,Scapophyllia cylindrica,Scapophyllia cylindrica,-18.776,146.6667,300,1979,0.033244,5.3694,25.63,25.904774,,,,
"Turbinaria peltata (Esper, 1794)",Turbinaria peltata,Duncanopsammia peltata,Turbinaria peltata,-18.776,146.6667,300,1979,0.033244,5.3694,25.63,25.904774,,,,
"Cyphastrea serailia (Forsk´è_l, 1775)",Cyphastrea,Cyphastrea,,-18.7757,146.6678,300,1976,0.033244,5.3694,25.63,25.904774,,,,
"Echinophyllia aspera (Ellis & Solander, 1786)",Echinophyllia aspera,Echinophyllia aspera,Echinophyllia aspera,-18.7757,146.6678,300,1979,0.033244,5.3694,25.63,25.904774,,,,
"Favia matthaii Vaughan, 1918",Favia matthaii,Dipsastraea matthaii,Favia matthaii,-18.7757,146.6678,300,1976,0.033244,5.3694,25.63,25.904774,,,,
"Favites pentagona (Esper, 1794)",Favites pentagona,Favites pentagona,Favites pentagona,-18.7757,146.6678,300,1976,0.033244,5.3694,25.63,25.904774,,,,
"Favites russelli (Wells, 1954)",Favites russelli,Paragoniastrea russelli,Favites russelli,-18.7757,146.6678,300,1976,0.033244,5.3694,25.63,25.904774,,,,
"Leptoseris yabei (Pillai & Scheer, 1976)",Leptoseris yabei,Leptoseris yabei,Leptoseris yabei,-18.7757,146.6678,300,1979,0.033244,5.3694,25.63,25.904774,,,,
Oulophyllia bennettae,Oulophyllia bennettae,Oulophyllia bennettae,Oulophyllia bennettae,-18.7757,146.6678,300,1976,0.033244,5.3694,25.63,25.904774,,,,
"Pavona minuta Wells, 1954",Pavona minuta,Pavona minuta,Pavona minuta,-18.7757,146.6678,300,1979,0.033244,5.3694,25.63,25.904774,,,,
"Platygyra lamellina (Ehrenberg, 1834)",Platygyra lamellina,Platygyra lamellina,Platygyra lamellina,-18.7757,146.6678,300,1976,0.033244,5.3694,25.63,25.904774,,,,
"Psammocora profundacella Gardiner, 1898",Psammocora profundacella,Psammocora profundacella,Psammocora profundacella,-18.7757,146.6678,300,1975,0.033244,5.3694,25.63,25.904774,,,,
"Acropora (Acropora) carduus (Dana, 1846)",Acropora (Acropora) carduus,Acropora carduus,Acropora (Acropora) carduus,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Acropora (Acropora) elseyi (Brook, 1892)",Acropora (Acropora) elseyi,Acropora elseyi,Acropora (Acropora) elseyi,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Acropora (Acropora) grandis (Brook, 1892)",Acropora (Acropora) grandis,Acropora grandis,Acropora (Acropora) grandis,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Acropora (Acropora) latistella (Brook, 1892)",Acropora (Acropora) latistella,Acropora latistella,Acropora (Acropora) latistella,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Acropora (Acropora) loripes (Brook, 1892)",Acropora (Acropora) loripes,Acropora loripes,Acropora (Acropora) loripes,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Acropora (Acropora) microphthalma (Verrill, 1869)",Acropora (Acropora) microphthalma,Acropora microphthalma,Acropora (Acropora) microphthalma,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Acropora (Acropora) robusta (Dana, 1846)",Acropora (Acropora) robusta,Acropora robusta,Acropora (Acropora) robusta,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Acropora (Acropora) sarmentosa (Brook, 1892)",Acropora (Acropora) sarmentosa,Acropora sarmentosa,Acropora (Acropora) sarmentosa,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Acropora (Acropora) tenuis (Dana, 1846)",Acropora (Acropora) tenuis,Acropora tenuis,Acropora (Acropora) tenuis,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Acropora (Acropora) valida (Dana, 1846)",Acropora (Acropora) valida,Acropora valida,Acropora (Acropora) valida,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Alveopora allingi Hoffmeister, 1925",Alveopora allingi,Alveopora allingi,Alveopora allingi,-18.774,146.522,500,1981,0.043329,,,25.787212,0.11222704,,,
"Alveopora spongiosa Dana, 1846",Alveopora spongiosa,Alveopora spongiosa,Alveopora spongiosa,-18.774,146.522,500,1981,0.043329,,,25.787212,0.11222704,,,
"Caulastrea curvata Wijsman-Best, 1972",Caulastrea curvata,Caulastraea curvata,Caulastrea curvata,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Caulastrea furcata Dana, 1846",Caulastrea furcata,Caulastraea furcata,Caulastrea furcata,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Coscinaraea columna (Dana, 1846)",Coscinaraea columna,Coscinaraea columna,Coscinaraea columna,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Fungia (Ctenactis) echinata. (Pallas, 1766)",Ctenactis crassa,Ctenactis crassa,Ctenactis crassa,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Cyphastrea serailia (Forsk´è_l, 1775)",Cyphastrea,Cyphastrea,,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Cyphastrea japonica Yabe & Sugiyama, 1932",Cyphastrea japonica,Cyphastrea japonica,Cyphastrea japonica,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Cyphastrea microphthalma (Lamarck, 1816)",Cyphastrea microphthalma,Cyphastrea microphthalma,Cyphastrea microphthalma,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Echinophyllia aspera (Ellis & Solander, 1786)",Echinophyllia aspera,Echinophyllia aspera,Echinophyllia aspera,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
Echinophyllia orpheensis nom. nov.,Echinophyllia orpheensis,Echinophyllia orpheensis,Echinophyllia orpheensis,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Echinopora horrida Dana, 1846",Echinopora horrida,Echinopora horrida,Echinopora horrida,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Echinopora lamellosa (Esper, 1795)",Echinopora lamellosa,Echinopora lamellosa,Echinopora lamellosa,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Favia pallida (Dana, 1846)",Favia pallida,Dipsastraea pallida,Favia pallida,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Favia rotumana (Gardiner, 1899)",Favia rotumana,Dipsastraea rotumana,Favia rotumana,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Favites halicora (Ehrenberg, 1834)",Favites halicora,Favites halicora,Favites halicora,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Fungia (Danafungia) danai Edwards & Haime, 1851",Fungia,Fungia,,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Fungia (Danafungia) horrida Dana, 1846",Fungia (Danafungia) horrida,Danafungia horrida,Fungia (Danafungia) horrida,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Fungia (Pleuractis) paumotensis Stutchbury, 1833",Fungia (Pleuractis) paumotensis,Pleuractis paumotensis,Fungia (Pleuractis) paumotensis,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Fungia (Verrillofungia) concinna Verrill, 1864",Fungia (Verrillofungia) concinna,Lithophyllon concinna,Fungia (Verrillofungia) concinna,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Fungia (Verrillofungia) repanda Dana, 1846",Fungia (Verrillofungia) repanda,Lithophyllon repanda,Fungia (Verrillofungia) repanda,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Galaxea fascicularis (Linnaeus, 1767)",Galaxea fascicularis,Galaxea fascicularis,Galaxea fascicularis,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Goniastrea australensis (Edwards & Haime, 1857)",Goniastrea australensis,Paragoniastrea australensis,Goniastrea australensis,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Goniastrea palauensis (Yabe, Sugiyama & Eguchi, 1936)",Goniastrea palauensis,Coelastrea palauensis,Goniastrea palauensis,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Goniastrea pectinata (Ehrenberg, 1834)",Goniastrea pectinata,Goniastrea pectinata,Goniastrea pectinata,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Goniopora fruticosa Saville-Kent, 1893",Goniopora fruticosa,Goniopora fruticosa,Goniopora fruticosa,-18.774,146.522,500,1981,0.043329,,,25.787212,0.11222704,,,
"Goniopora columna Dana, 1846",Goniopora lobata,Goniopora lobata,Goniopora lobata,-18.774,146.522,500,1981,0.043329,,,25.787212,0.11222704,,,
"Goniopora lobata Edwards & Haime, 1860",Goniopora lobata,Goniopora lobata,Goniopora lobata,-18.774,146.522,500,1981,0.043329,,,25.787212,0.11222704,,,
"Goniopora stokesi Edwards & Haime, 1851",Goniopora stokesi,Goniopora stokesi,Goniopora stokesi,-18.774,146.522,500,1981,0.043329,,,25.787212,0.11222704,,,
"Goniopora tenuidens Quelch, 1886",Goniopora tenuidens,Goniopora tenuidens,Goniopora tenuidens,-18.774,146.522,500,1981,0.043329,,,25.787212,0.11222704,,,
"Herpolitha limax (Houttuyn, 1772)",Herpolitha limax,Herpolitha limax,Herpolitha limax,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Hydnophora exesa (Pallas, 1766)",Hydnophora exesa,Hydnophora exesa,Hydnophora exesa,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Leptastrea purpurea (Dana, 1846)",Leptastrea purpurea,Leptastrea purpurea,Leptastrea purpurea,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Leptoseris gardineri van der Horst, 1921",Leptoseris gardineri,Leptoseris gardineri,Leptoseris gardineri,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Leptoseris mycetoseroides Wells, 1954",Leptoseris mycetoseroides,Leptoseris mycetoseroides,Leptoseris mycetoseroides,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Leptoseris explanata Yabe & Sugiyama, 1941",Leptoseris scabra,Leptoseris scabra,Leptoseris scabra,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Leptoseris scabra Vaughan, 1907",Leptoseris scabra,Leptoseris scabra,Leptoseris scabra,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Leptoseris yabei (Pillai & Scheer, 1976)",Leptoseris yabei,Leptoseris yabei,Leptoseris yabei,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Lobophyllia corymbosa (Forskal, 1775)",Lobophyllia corymbosa,Lobophyllia corymbosa,Lobophyllia corymbosa,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
Lobophyllia hemprichii,Lobophyllia hemprichii,Lobophyllia hemprichii,Lobophyllia hemprichii,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
Madracis kirbyi,Madracis kirbyi,Madracis kirbyi,Madracis kirbyi,-18.774,146.522,500,1975,0.043329,,,25.787212,0.11222704,,,
"Merulina ampliata (Ellis & Solander, 1786)",Merulina ampliata,Merulina ampliata,Merulina ampliata,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Montipora aequituberculata Bernard, 1897",Montipora aequituberculata,Montipora aequituberculata,Montipora aequituberculata,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
Montipora corbettensis,Montipora corbettensis,Montipora corbettensis,Montipora corbettensis,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Montipora efflorescens Bernard, 1897",Montipora efflorescens,Montipora efflorescens,Montipora efflorescens,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Montipora foliosa (Pallas, 1766)",Montipora foliosa,Montipora foliosa,Montipora foliosa,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Montipora tuberculosa (Lamarck, 1816)",Montipora tuberculosa,Montipora tuberculosa,Montipora tuberculosa,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Montipora turgescens Bernard, 1897",Montipora turgescens,Montipora turgescens,Montipora turgescens,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Montipora verrucosa (Lamarck, 1816)",Montipora verrucosa,Montipora verrucosa,Montipora verrucosa,-18.774,146.522,500,1983,0.043329,,,25.787212,0.11222704,,,
"Mycedium elephantotus (Pallas, 1766)",Mycedium elephantotus,Mycedium elephantotus,Mycedium elephantotus,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Oulophyllia crispa (Lamarck, 1816)",Oulophyllia crispa,Oulophyllia crispa,Oulophyllia crispa,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Oxypora lacera (Verrill, 1864)",Oxypora lacera,Oxypora lacera,Oxypora lacera,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Pachyseris speciosa (Dana, 1846)",Pachyseris speciosa,Pachyseris speciosa,Pachyseris speciosa,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Pavona cactus (Forskal, 1775)",Pavona cactus,Pavona cactus,Pavona cactus,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Pavona decussata (Dana, 1846)",Pavona decussata,Pavona decussata,Pavona decussata,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Pectinia alcicornis (Saville-Kent, 1871)",Pectinia alcicornis,Pectinia alcicornis,Pectinia alcicornis,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Pectinia paeonia (Dana, 1846)",Pectinia paeonia,Pectinia paeonia,Pectinia paeonia,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Platygyra daedalea (Ellis & Solander, 1786)",Platygyra daedalea,Platygyra daedalea,Platygyra daedalea,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Platygyra lamellina (Ehrenberg, 1834)",Platygyra lamellina,Platygyra lamellina,Platygyra lamellina,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Platygyra pini Chevalier, 1975",Platygyra pini,Platygyra pini,Platygyra pini,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Pocillopora damicornis (Linnaeus, 1758)",Pocillopora damicornis,Pocillopora damicornis,Pocillopora damicornis,-18.774,146.522,500,1975,0.043329,,,25.787212,0.11222704,,,
"Podabacia crustacea (Pallas, 1766)",Podabacia crustacea,Podabacia crustacea,Podabacia crustacea,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Porites (Porites) cylindrica Dana, 1846",Porites (Porites) cylindrica,Porites cylindrica,Porites (Porites) cylindrica,-18.774,146.522,500,1981,0.043329,,,25.787212,0.11222704,,,
"Porites (Porites) lichen Dana, 1846",Porites (Porites) lichen,Porites lichen,Porites (Porites) lichen,-18.774,146.522,500,1981,0.043329,,,25.787212,0.11222704,,,
"Porites (Porites) lobata Dana, 1846",Porites (Porites) lobata,Porites lobata,Porites (Porites) lobata,-18.774,146.522,500,1981,0.043329,,,25.787212,0.11222704,,,
"Psammocora contigua (Esper, 1797)",Psammocora contigua,Psammocora contigua,Psammocora contigua,-18.774,146.522,500,1975,0.043329,,,25.787212,0.11222704,,,
"Sandalolitha robusta (Quelch, 1886)",Sandalolitha robusta,Sandalolitha robusta,Sandalolitha robusta,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Scolymia cf. vitiensis Bruggemann, 1877",Scolymia,Scolymia,,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Seriatopora hystrix Dana, 1846",Seriatopora hystrix,Seriatopora hystrix,Seriatopora hystrix,-18.774,146.522,500,1975,0.043329,,,25.787212,0.11222704,,,
"Stylophora pistillata Esper, 1797",Stylophora pistillata,Stylophora pistillata,Stylophora pistillata,-18.774,146.522,500,1975,0.043329,,,25.787212,0.11222704,,,
"Turbinaria bifrons Bruggemann, 1877",Turbinaria bifrons,Turbinaria bifrons,Turbinaria bifrons,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Turbinaria mesenterina (Lamarck, 1816)",Turbinaria mesenterina,Turbinaria mesenterina,Turbinaria mesenterina,-18.774,146.522,500,1979,0.043329,,,25.787212,0.11222704,,,
"Favia favus (Forsk´è_l, 1775)",,Dipsastraea favus,,-18.774,146.522,500,1976,0.043329,,,25.787212,0.11222704,,,
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,Acropora (Acropora) aculeus,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,Acropora (Acropora) austera,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Acropora (Acropora) divaricata (Dana, 1846)",Acropora (Acropora) divaricata,Acropora divaricata,Acropora (Acropora) divaricata,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Acropora (Acropora) elseyi (Brook, 1892)",Acropora (Acropora) elseyi,Acropora elseyi,Acropora (Acropora) elseyi,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Acropora (Acropora) grandis (Brook, 1892)",Acropora (Acropora) grandis,Acropora grandis,Acropora (Acropora) grandis,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Acropora (Acropora) humilis (Dana, 1846)",Acropora (Acropora) humilis,Acropora humilis,Acropora (Acropora) humilis,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Acropora longicyathus (Edwards & Haime, 1860)",Acropora (Acropora) longicyathus,Acropora longicyathus,Acropora (Acropora) longicyathus,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Acropora (Acropora) loripes (Brook, 1892)",Acropora (Acropora) loripes,Acropora loripes,Acropora (Acropora) loripes,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Acropora (Acropora) microphthalma (Verrill, 1869)",Acropora (Acropora) microphthalma,Acropora microphthalma,Acropora (Acropora) microphthalma,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Acropora (Acropora) millepora (Ehrenberg, 1834)",Acropora (Acropora) millepora,Acropora millepora,Acropora (Acropora) millepora,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Acropora (Acropora) nasuta (Dana, 1846)",Acropora (Acropora) nasuta,Acropora nasuta,Acropora (Acropora) nasuta,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Acropora (Acropora) selago (Studer, 1878)",Acropora (Acropora) selago,Acropora selago,Acropora (Acropora) selago,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Acropora (Isopora) brueggemanni (Brook, 1893)",Acropora (Isopora) brueggemanni,Isopora brueggemanni,Acropora (Isopora) brueggemanni,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Acropora (Acropora) nobilis (Dana, 1846)",Acropora nobilis,Acropora intermedia,,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Alveopora allingi Hoffmeister, 1925",Alveopora allingi,Alveopora allingi,Alveopora allingi,-18.772,146.532,500,1981,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Alveopora catalai Wells, 1968",Alveopora catalai,Alveopora catalai,Alveopora catalai,-18.772,146.532,500,1981,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Anacropora puertogalerae Nemenzo, 1964",Anacropora puertogalerae,Anacropora puertogalerae,Anacropora puertogalerae,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Astreopora myriophthalma (Lamarck, 1816)",Astreopora myriophthalma,Astreopora myriophthalma,Astreopora myriophthalma,-18.772,146.532,500,1983,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Cyphastrea chalcidicum (Forsk´è_l, 1775)",Cyphastrea,Cyphastrea,,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Cyphastrea serailia (Forsk´è_l, 1775)",Cyphastrea,Cyphastrea,,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Cyphastrea japonica Yabe & Sugiyama, 1932",Cyphastrea japonica,Cyphastrea japonica,Cyphastrea japonica,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Cyphastrea microphthalma (Lamarck, 1816)",Cyphastrea microphthalma,Cyphastrea microphthalma,Cyphastrea microphthalma,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
Echinophyllia orpheensis nom. nov.,Echinophyllia orpheensis,Echinophyllia orpheensis,Echinophyllia orpheensis,-18.772,146.532,500,1979,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Echinopora lamellosa (Esper, 1795)",Echinopora lamellosa,Echinopora lamellosa,Echinopora lamellosa,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Echinopora mammiformis (Nemenzo, 1959)",Echinopora mammiformis,Echinopora mammiformis,Echinopora mammiformis,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Favia laxa (Klunzinger, 1879)",Favia laxa,Dipsastraea laxa,Favia laxa,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Favia matthaii Vaughan, 1918",Favia matthaii,Dipsastraea matthaii,Favia matthaii,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Favia pallida (Dana, 1846)",Favia pallida,Dipsastraea pallida,Favia pallida,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Favites abdita (Ellis & Solander, 1786)",Favites abdita,Favites abdita,Favites abdita,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Favites chinensis (Verrill, 1866)",Favites chinensis,Favites chinensis,Favites chinensis,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Favites pentagona (Esper, 1794)",Favites pentagona,Favites pentagona,Favites pentagona,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Fungia (Danafungia) danai Edwards & Haime, 1851",Fungia,Fungia,,-18.772,146.532,500,1979,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Fungia (Fungia) Fungites (Linnaeus, 1758)",Fungia,Fungia,,-18.772,146.532,500,1979,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Fungia (Danafungia) horrida Dana, 1846",Fungia (Danafungia) horrida,Danafungia horrida,Fungia (Danafungia) horrida,-18.772,146.532,500,1979,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Fungia (Danafungia) scruposa Klunzinger, 1879",Fungia (Danafungia) scruposa,Danafungia scruposa,Fungia (Danafungia) scruposa,-18.772,146.532,500,1979,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Fungia (Pleuractis) moluccensis van der Horst, 1919",Fungia (Pleuractis) moluccensis,Pleuractis moluccensis,Fungia (Pleuractis) moluccensis,-18.772,146.532,500,1979,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Fungia (Pleuractis) paumotensis Stutchbury, 1833",Fungia (Pleuractis) paumotensis,Pleuractis paumotensis,Fungia (Pleuractis) paumotensis,-18.772,146.532,500,1979,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Fungia (Verrillofungia) scabra Doderlein, 1901",Fungia (Verrillofungia) scabra,Lithophyllon scabra,Fungia (Verrillofungia) scabra,-18.772,146.532,500,1979,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Galaxea fascicularis (Linnaeus, 1767)",Galaxea fascicularis,Galaxea fascicularis,Galaxea fascicularis,-18.772,146.532,500,1979,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Goniastrea cf. favulus (Dana, 1846)",Goniastrea,Goniastrea,,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Goniastrea edwardsi Chevalier, 1971",Goniastrea edwardsi,Goniastrea edwardsi,Goniastrea edwardsi,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Goniastrea retiformis (Lamarck, 1816)",Goniastrea retiformis,Goniastrea retiformis,Goniastrea retiformis,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Goniopora fruticosa Saville-Kent, 1893",Goniopora fruticosa,Goniopora fruticosa,Goniopora fruticosa,-18.772,146.532,500,1981,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Goniopora minor Crossland, 1952",Goniopora minor,Goniopora minor,Goniopora minor,-18.772,146.532,500,1981,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Goniopora tenuidens Quelch, 1886",Goniopora tenuidens,Goniopora tenuidens,Goniopora tenuidens,-18.772,146.532,500,1981,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Heliofungia actiniformis (Quoy & Gaimard, 1833)",Heliofungia actiniformis,Heliofungia actiniformis,Heliofungia actiniformis,-18.772,146.532,500,1979,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Herpolitha limax (Houttuyn, 1772)",Herpolitha limax,Herpolitha limax,Herpolitha limax,-18.772,146.532,500,1979,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Hydnophora exesa (Pallas, 1766)",Hydnophora exesa,Hydnophora exesa,Hydnophora exesa,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Leptastrea purpurea (Dana, 1846)",Leptastrea purpurea,Leptastrea purpurea,Leptastrea purpurea,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Leptoria phrygia (Ellis & Solander, 1786)",Leptoria phrygia,Leptoria phrygia,Leptoria phrygia,-18.772,146.532,500,1976,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
"Leptoseris yabei (Pillai & Scheer, 1976)",Leptoseris yabei,Leptoseris yabei,Leptoseris yabei,-18.772,146.532,500,1979,0.043329,5.5123,25.599998,25.787212,0.11222704,,,
