Scientific Name,Matched Scientific Name,Revised.CTDB.name,Species - matched,Latitude - original,Longitude - original,Coordinate Uncertainty in Metres - parsed,Year - parsed,wave power,marspec_var,marspec_SST,MODIS_SST,turbidity,,,
Acropora (Acropora) yongei,Acropora (Acropora) yongei,Acropora yongei,Acropora (Acropora) yongei,-31.466,159.15,3000,1983,,3.9517999,21.39,21.288193,0.043319993,,,
"Leptoseris scabra Vaughan, 1907",Leptoseris scabra,Leptoseris scabra,Leptoseris scabra,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Montipora spongodes Bernard, 1897",Montipora spongodes,Montipora spongodes,Montipora spongodes,-31.466,159.15,3000,1983,,3.9517999,21.39,21.288193,0.043319993,,,
Montipora turtlensis,Montipora turtlensis,Montipora turtlensis,Montipora turtlensis,-31.466,159.15,3000,1983,,3.9517999,21.39,21.288193,0.043319993,,,
"Montipora venosa (Ehrenberg, 1834)",Montipora venosa,Montipora venosa,Montipora venosa,-31.466,159.15,3000,1983,,3.9517999,21.39,21.288193,0.043319993,,,
"Pavona cf. explanulata (Lamarck, 1816)",Pavona,Pavona,,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Pavona minuta Wells, 1954",Pavona minuta,Pavona minuta,Pavona minuta,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Pavona varians Verrill, 1864",Pavona varians,Pavona varians,Pavona varians,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Porites (Porites) lichen Dana, 1846",Porites (Porites) lichen,Porites lichen,Porites (Porites) lichen,-31.466,159.15,3000,1981,,3.9517999,21.39,21.288193,0.043319993,,,
"Scolymia cf. vitiensis Bruggemann, 1877",Scolymia,Scolymia,,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Turbinaria patula (Dana, 1846)",Turbinaria patula,Turbinaria patula,Turbinaria patula,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Turbinaria peltata (Esper, 1794)",Turbinaria peltata,Duncanopsammia peltata,Turbinaria peltata,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Turbinaria radicalis Bernard, 1896",Turbinaria radicalis,Turbinaria radicalis,Turbinaria radicalis,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,Acropora (Acropora) anthocercis,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) digitifera (Dana, 1846)",Acropora (Acropora) digitifera,Acropora digitifera,Acropora (Acropora) digitifera,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) glauca (Brook, 1893)",Acropora (Acropora) glauca,Acropora glauca,Acropora (Acropora) glauca,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) glauca (Brook, 1893)",Acropora (Acropora) glauca,Acropora glauca,Acropora (Acropora) glauca,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) horrida (Dana, 1846)",Acropora (Acropora) horrida,Acropora horrida,Acropora (Acropora) horrida,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) latistella (Brook, 1892)",Acropora (Acropora) latistella,Acropora latistella,Acropora (Acropora) latistella,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) latistella (Brook, 1892)",Acropora (Acropora) latistella,Acropora latistella,Acropora (Acropora) latistella,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) latistella (Brook, 1892)",Acropora (Acropora) latistella,Acropora latistella,Acropora (Acropora) latistella,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) latistella (Brook, 1892)",Acropora (Acropora) latistella,Acropora latistella,Acropora (Acropora) latistella,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
Acropora (Acropora) lovelli,Acropora (Acropora) lovelli,Acropora loveli,Acropora (Acropora) lovelli,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
Acropora (Acropora) lovelli,Acropora (Acropora) lovelli,Acropora loveli,Acropora (Acropora) lovelli,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
Acropora (Acropora) lovelli,Acropora (Acropora) lovelli,Acropora loveli,Acropora (Acropora) lovelli,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) nasuta (Dana, 1846)",Acropora (Acropora) nasuta,Acropora nasuta,Acropora (Acropora) nasuta,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) pulchra (Brook, 1891)",Acropora (Acropora) pulchra,Acropora pulchra,Acropora (Acropora) pulchra,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) sarmentosa (Brook, 1892)",Acropora (Acropora) sarmentosa,Acropora sarmentosa,Acropora (Acropora) sarmentosa,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) tenuis (Dana, 1846)",Acropora (Acropora) tenuis,Acropora tenuis,Acropora (Acropora) tenuis,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) tortuosa (Dana, 1846)",Acropora (Acropora) tortuosa,Acropora tortuosa,Acropora (Acropora) tortuosa,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) valida (Dana, 1846)",Acropora (Acropora) valida,Acropora valida,Acropora (Acropora) valida,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) valida (Dana, 1846)",Acropora (Acropora) valida,Acropora valida,Acropora (Acropora) valida,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) valida (Dana, 1846)",Acropora (Acropora) valida,Acropora valida,Acropora (Acropora) valida,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
Acropora (Acropora) yongei,Acropora (Acropora) yongei,Acropora yongei,Acropora (Acropora) yongei,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
Acropora (Acropora) yongei,Acropora (Acropora) yongei,Acropora yongei,Acropora (Acropora) yongei,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) danai (Edwards & Haime, 1860)",Acropora danai,Acropora abrotanoides,,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) danai (Edwards & Haime, 1860)",Acropora danai,Acropora abrotanoides,,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) danai (Edwards & Haime, 1860)",Acropora danai,Acropora abrotanoides,,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Astreopora cucullata Lamberts, 1980",Astreopora cucullata,Astreopora cucullata,Astreopora cucullata,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Astreopora listeri Bernard, 1896",Astreopora listeri,Astreopora listeri,Astreopora listeri,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Astreopora ocellata Bernard, 1896",Astreopora ocellata,Astreopora ocellata,Astreopora ocellata,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Montipora aequituberculata Bernard, 1897",Montipora aequituberculata,Montipora aequituberculata,Montipora aequituberculata,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Montipora aequituberculata Bernard, 1897",Montipora aequituberculata,Montipora aequituberculata,Montipora aequituberculata,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Montipora danae Edwards & Haime, 1851",Montipora danae,Montipora danae,Montipora danae,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Montipora efflorescens Bernard, 1897",Montipora efflorescens,Montipora efflorescens,Montipora efflorescens,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Montipora efflorescens Bernard, 1897",Montipora efflorescens,Montipora efflorescens,Montipora efflorescens,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Montipora turgescens Bernard, 1897",Montipora turgescens,Montipora turgescens,Montipora turgescens,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Montipora turgescens Bernard, 1897",Montipora turgescens,Montipora turgescens,Montipora turgescens,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Montipora turgescens Bernard, 1897",Montipora turgescens,Montipora turgescens,Montipora turgescens,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
Montipora turtlensis,Montipora turtlensis,Montipora turtlensis,Montipora turtlensis,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
Montipora turtlensis,Montipora turtlensis,Montipora turtlensis,Montipora turtlensis,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Turbinaria frondens (Dana, 1846)",Turbinaria frondens,Turbinaria frondens,Turbinaria frondens,-29.933,159.066,3000,1979,,3.2963,21.74,22.001612,0.04077379,,,
"Turbinaria radicalis Bernard, 1896",Turbinaria radicalis,Turbinaria radicalis,Turbinaria radicalis,-29.933,159.066,3000,1979,,3.2963,21.74,22.001612,0.04077379,,,
"Psammocora superficialis Gardiner, 1898",Psammocora superficialis,Psammocora superficialis,Psammocora superficialis,-29.93,153.4,10000,1975,0.010144,4.1310997,22.3,21.888655,0.09560884,,,
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,Acropora (Acropora) anthocercis,-29.922,153.386,500,1983,0.010144,4.0854,22.13,21.888655,0.09560884,,,
"Acropora (Acropora) glauca (Brook, 1893)",Acropora (Acropora) glauca,Acropora glauca,Acropora (Acropora) glauca,-29.922,153.386,500,1983,0.010144,4.0854,22.13,21.888655,0.09560884,,,
"Acropora (Acropora) sarmentosa (Brook, 1892)",Acropora (Acropora) sarmentosa,Acropora sarmentosa,Acropora (Acropora) sarmentosa,-29.922,153.386,500,1983,0.010144,4.0854,22.13,21.888655,0.09560884,,,
Acropora solitaryensis,Acropora (Acropora) solitaryensis,Acropora solitaryensis,Acropora (Acropora) solitaryensis,-29.922,153.386,500,1983,0.010144,4.0854,22.13,21.888655,0.09560884,,,
"Turbinaria reniformis Bernard, 1896",Turbinaria reniformis,Turbinaria reniformis,Turbinaria reniformis,-29.922,153.386,500,1979,0.010144,4.0854,22.13,21.888655,0.09560884,,,
"Psammocora superficialis Gardiner, 1898",Psammocora superficialis,Psammocora superficialis,Psammocora superficialis,-29.779,153.305,1000,1975,0.181989,4.5164,20.689999,21.599869,,,,
"Acropora (Acropora) aspera (Dana, 1846)",Acropora (Acropora) aspera,Acropora aspera,Acropora (Acropora) aspera,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,Acropora (Acropora) austera,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,m=turbidity
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,Acropora (Acropora) austera,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,marspec slightly higher
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,Acropora (Acropora) austera,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,j=variance
"Acropora (Acropora) austera (Dana, 1846)",Acropora (Acropora) austera,Acropora austera,Acropora (Acropora) austera,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) cytherea (Dana, 1846)",Acropora (Acropora) cytherea,Acropora cytherea,Acropora (Acropora) cytherea,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) cytherea (Dana, 1846)",Acropora (Acropora) cytherea,Acropora cytherea,Acropora (Acropora) cytherea,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) digitifera (Dana, 1846)",Acropora (Acropora) digitifera,Acropora digitifera,Acropora (Acropora) digitifera,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) digitifera (Dana, 1846)",Acropora (Acropora) digitifera,Acropora digitifera,Acropora (Acropora) digitifera,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) digitifera (Dana, 1846)",Acropora (Acropora) digitifera,Acropora digitifera,Acropora (Acropora) digitifera,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) gemmifera (Brook, 1892)",Acropora (Acropora) gemmifera,Acropora gemmifera,Acropora (Acropora) gemmifera,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) glauca (Brook, 1893)",Acropora (Acropora) glauca,Acropora glauca,Acropora (Acropora) glauca,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) glauca (Brook, 1893)",Acropora (Acropora) glauca,Acropora glauca,Acropora (Acropora) glauca,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) glauca (Brook, 1893)",Acropora (Acropora) glauca,Acropora glauca,Acropora (Acropora) glauca,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) horrida (Dana, 1846)",Acropora (Acropora) horrida,Acropora horrida,Acropora (Acropora) horrida,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) hyacinthus (Dana, 1846)",Acropora (Acropora) hyacinthus,Acropora hyacinthus,Acropora (Acropora) hyacinthus,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) hyacinthus (Dana, 1846)",Acropora (Acropora) hyacinthus,Acropora hyacinthus,Acropora (Acropora) hyacinthus,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) hyacinthus (Dana, 1846)",Acropora (Acropora) hyacinthus,Acropora hyacinthus,Acropora (Acropora) hyacinthus,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
"Acropora (Acropora) latistella (Brook, 1892)",Acropora (Acropora) latistella,Acropora latistella,Acropora (Acropora) latistella,-29.454,159.111,3000,1983,,3.1822,21.92,21.977228,0.039703246,,,
