,species,site,present,Latitude,Longitude,stdev,SST_p50,Chl_50p,skewnes,TSM_50P,PAR_50P,abundance_world,depth_lower,depth_range,found_off_reef,growth_form,range_size_veron_.pixels.,reproductive_mode_.ahb.,sexual_system,substrate_attachment,water_clarity_preference,wave_exposure_preference,zooxanthellae_in_propagules_.ahb.
32417,Goniastrea.australensis,35,0,-23.635,152.155,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,40,40,TRUE,massive,6431,spawner,hermaphrodite,attached,clear,broad,no
37110,Hydnophora.exesa,35,0,-23.635,152.155,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,55,54,FALSE,encrusting,6506,spawner,hermaphrodite,attached,clear,protected,no
49152,Mycedium.elephantotus,35,0,-23.635,152.155,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,70,67,FALSE,encrusting,6669,spawner,hermaphrodite,attached,clear,protected,no
51353,Pavona.decussata,35,0,-23.635,152.155,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,20,19,FALSE,foliaceous,6924,spawner,NA,attached,both,broad,no
53977,Platygyra.sinensis,35,0,-23.635,152.155,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,30,30,TRUE,massive,6772,spawner,hermaphrodite,attached,clear,broad,no
54460,Plesiastrea.versipora,35,0,-23.635,152.155,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,40,39,TRUE,encrusting,7036,spawner,gonochorous,attached,clear,protected,no
54713,Pocillopora.damicornis,35,0,-23.635,152.155,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,55,54,FALSE,branching,7431,brooder,hermaphrodite,attached,both,broad,yes
58521,Porites.stephensoni,35,0,-23.635,152.155,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,5,5,FALSE,massive,5113,brooder,NA,attached,clear,protected,yes
62473,Stylophora.pistillata,35,0,-23.635,152.155,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,65,64,FALSE,branching,6767,brooder,hermaphrodite,attached,clear,exposed,yes
64386,Turbinaria.mesenterina,35,0,-23.635,152.155,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,20,17,FALSE,foliaceous,6975,spawner,gonochorous,attached,turbid,protected,no
65053,Turbinaria.radicalis,35,0,-23.635,152.155,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,rare,25,23,FALSE,encrusting,2328,spawner,NA,attached,clear,broad,no
3300,Acropora.cuneata,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,15,15,FALSE,laminar,5434,brooder,hermaphrodite,attached,clear,exposed,no
5362,Acropora.gemmifera,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,15,14,FALSE,digitate,4928,spawner,hermaphrodite,attached,clear,broad,no
5708,Acropora.glauca,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,rare,20,15,TRUE,corymbose,2012,spawner,hermaphrodite,attached,both,protected,no
6416,Acropora.humilis,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,11,11,FALSE,digitate,6545,spawner,hermaphrodite,attached,clear,exposed,no
6689,Acropora.hyacinthus,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,20,15,FALSE,tabular,7903,spawner,hermaphrodite,attached,clear,exposed,no
8061,Acropora.microclados,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,20,15,FALSE,corymbose,6596,spawner,hermaphrodite,attached,clear,exposed,no
8858,Acropora.monticulosa,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,12,11,FALSE,digitate,5697,spawner,hermaphrodite,attached,clear,exposed,no
11777,Acropora.solitaryensis,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,rare,25,20,FALSE,tabular,4376,spawner,hermaphrodite,attached,clear,broad,no
19082,Caulastrea.tumida,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,40,38,FALSE,phaceloid,2727,spawner,NA,attached,both,protected,no
25863,Favia.favus,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,50,50,TRUE,massive,6990,spawner,hermaphrodite,attached,clear,protected,no
27530,Favia.speciosa,177,1,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,50,50,TRUE,massive,6902,spawner,hermaphrodite,attached,clear,broad,no
29487,Fungia.fungites,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,50,49,TRUE,solitary,7113,spawner,gonochorous,unattached,clear,protected,no
32408,Goniastrea.australensis,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,40,40,TRUE,massive,6431,spawner,hermaphrodite,attached,clear,broad,no
37193,Hydnophora.exesa,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,55,54,FALSE,encrusting,6506,spawner,hermaphrodite,attached,clear,protected,no
49080,Mycedium.elephantotus,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,70,67,FALSE,encrusting,6669,spawner,hermaphrodite,attached,clear,protected,no
51391,Pavona.decussata,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,20,19,FALSE,foliaceous,6924,spawner,NA,attached,both,broad,no
54085,Platygyra.sinensis,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,30,30,TRUE,massive,6772,spawner,hermaphrodite,attached,clear,broad,no
54466,Plesiastrea.versipora,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,40,39,TRUE,encrusting,7036,spawner,gonochorous,attached,clear,protected,no
54660,Pocillopora.damicornis,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,55,54,FALSE,branching,7431,brooder,hermaphrodite,attached,both,broad,yes
58702,Porites.stephensoni,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,5,5,FALSE,massive,5113,brooder,NA,attached,clear,protected,yes
62420,Stylophora.pistillata,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,65,64,FALSE,branching,6767,brooder,hermaphrodite,attached,clear,exposed,yes
64316,Turbinaria.mesenterina,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,20,17,FALSE,foliaceous,6975,spawner,gonochorous,attached,turbid,protected,no
65057,Turbinaria.radicalis,177,0,-23.63,152.15,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,rare,25,23,FALSE,encrusting,2328,spawner,NA,attached,clear,broad,no
3383,Acropora.cuneata,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,15,15,FALSE,laminar,5434,brooder,hermaphrodite,attached,clear,exposed,no
5428,Acropora.gemmifera,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,15,14,FALSE,digitate,4928,spawner,hermaphrodite,attached,clear,broad,no
5571,Acropora.glauca,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,rare,20,15,TRUE,corymbose,2012,spawner,hermaphrodite,attached,both,protected,no
6536,Acropora.humilis,37,1,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,11,11,FALSE,digitate,6545,spawner,hermaphrodite,attached,clear,exposed,no
6742,Acropora.hyacinthus,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,20,15,FALSE,tabular,7903,spawner,hermaphrodite,attached,clear,exposed,no
8082,Acropora.microclados,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,uncommon,20,15,FALSE,corymbose,6596,spawner,hermaphrodite,attached,clear,exposed,no
8709,Acropora.monticulosa,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,uncommon,12,11,FALSE,digitate,5697,spawner,hermaphrodite,attached,clear,exposed,no
11772,Acropora.solitaryensis,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,rare,25,20,FALSE,tabular,4376,spawner,hermaphrodite,attached,clear,broad,no
19108,Caulastrea.tumida,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,40,38,FALSE,phaceloid,2727,spawner,NA,attached,both,protected,no
25824,Favia.favus,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,50,50,TRUE,massive,6990,spawner,hermaphrodite,attached,clear,protected,no
27555,Favia.speciosa,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,50,50,TRUE,massive,6902,spawner,hermaphrodite,attached,clear,broad,no
29494,Fungia.fungites,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,50,49,TRUE,solitary,7113,spawner,gonochorous,unattached,clear,protected,no
32355,Goniastrea.australensis,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,40,40,TRUE,massive,6431,spawner,hermaphrodite,attached,clear,broad,no
37237,Hydnophora.exesa,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,55,54,FALSE,encrusting,6506,spawner,hermaphrodite,attached,clear,protected,no
49190,Mycedium.elephantotus,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,70,67,FALSE,encrusting,6669,spawner,hermaphrodite,attached,clear,protected,no
51411,Pavona.decussata,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,20,19,FALSE,foliaceous,6924,spawner,NA,attached,both,broad,no
53979,Platygyra.sinensis,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,uncommon,30,30,TRUE,massive,6772,spawner,hermaphrodite,attached,clear,broad,no
54563,Plesiastrea.versipora,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,uncommon,40,39,TRUE,encrusting,7036,spawner,gonochorous,attached,clear,protected,no
54722,Pocillopora.damicornis,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,55,54,FALSE,branching,7431,brooder,hermaphrodite,attached,both,broad,yes
58542,Porites.stephensoni,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,uncommon,5,5,FALSE,massive,5113,brooder,NA,attached,clear,protected,yes
62487,Stylophora.pistillata,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,65,64,FALSE,branching,6767,brooder,hermaphrodite,attached,clear,exposed,yes
64375,Turbinaria.mesenterina,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,common,20,17,FALSE,foliaceous,6975,spawner,gonochorous,attached,turbid,protected,no
64946,Turbinaria.radicalis,37,0,-23.627,152.181,2.111835003,24.52312469,0.315928638,0.058870383,0.456825137,45.5868454,rare,25,23,FALSE,encrusting,2328,spawner,NA,attached,clear,broad,no
3403,Acropora.cuneata,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,15,15,FALSE,laminar,5434,brooder,hermaphrodite,attached,clear,exposed,no
5405,Acropora.gemmifera,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,15,14,FALSE,digitate,4928,spawner,hermaphrodite,attached,clear,broad,no
5613,Acropora.glauca,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,rare,20,15,TRUE,corymbose,2012,spawner,hermaphrodite,attached,both,protected,no
6552,Acropora.humilis,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,11,11,FALSE,digitate,6545,spawner,hermaphrodite,attached,clear,exposed,no
6753,Acropora.hyacinthus,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,20,15,FALSE,tabular,7903,spawner,hermaphrodite,attached,clear,exposed,no
8207,Acropora.microclados,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,20,15,FALSE,corymbose,6596,spawner,hermaphrodite,attached,clear,exposed,no
8767,Acropora.monticulosa,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,12,11,FALSE,digitate,5697,spawner,hermaphrodite,attached,clear,exposed,no
11784,Acropora.solitaryensis,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,rare,25,20,FALSE,tabular,4376,spawner,hermaphrodite,attached,clear,broad,no
18956,Caulastrea.tumida,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,40,38,FALSE,phaceloid,2727,spawner,NA,attached,both,protected,no
25914,Favia.favus,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,50,50,TRUE,massive,6990,spawner,hermaphrodite,attached,clear,protected,no
27586,Favia.speciosa,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,50,50,TRUE,massive,6902,spawner,hermaphrodite,attached,clear,broad,no
29659,Fungia.fungites,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,50,49,TRUE,solitary,7113,spawner,gonochorous,unattached,clear,protected,no
32529,Goniastrea.australensis,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,40,40,TRUE,massive,6431,spawner,hermaphrodite,attached,clear,broad,no
37167,Hydnophora.exesa,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,55,54,FALSE,encrusting,6506,spawner,hermaphrodite,attached,clear,protected,no
49199,Mycedium.elephantotus,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,70,67,FALSE,encrusting,6669,spawner,hermaphrodite,attached,clear,protected,no
51471,Pavona.decussata,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,20,19,FALSE,foliaceous,6924,spawner,NA,attached,both,broad,no
54142,Platygyra.sinensis,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,30,30,TRUE,massive,6772,spawner,hermaphrodite,attached,clear,broad,no
54403,Plesiastrea.versipora,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,40,39,TRUE,encrusting,7036,spawner,gonochorous,attached,clear,protected,no
54632,Pocillopora.damicornis,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,55,54,FALSE,branching,7431,brooder,hermaphrodite,attached,both,broad,yes
58658,Porites.stephensoni,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,5,5,FALSE,massive,5113,brooder,NA,attached,clear,protected,yes
62433,Stylophora.pistillata,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,65,64,FALSE,branching,6767,brooder,hermaphrodite,attached,clear,exposed,yes
64301,Turbinaria.mesenterina,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,20,17,FALSE,foliaceous,6975,spawner,gonochorous,attached,turbid,protected,no
64905,Turbinaria.radicalis,31,0,-23.619,152.168,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,rare,25,23,FALSE,encrusting,2328,spawner,NA,attached,clear,broad,no
3475,Acropora.cuneata,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,15,15,FALSE,laminar,5434,brooder,hermaphrodite,attached,clear,exposed,no
5386,Acropora.gemmifera,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,15,14,FALSE,digitate,4928,spawner,hermaphrodite,attached,clear,broad,no
5578,Acropora.glauca,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,rare,20,15,TRUE,corymbose,2012,spawner,hermaphrodite,attached,both,protected,no
6455,Acropora.humilis,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,11,11,FALSE,digitate,6545,spawner,hermaphrodite,attached,clear,exposed,no
6675,Acropora.hyacinthus,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,20,15,FALSE,tabular,7903,spawner,hermaphrodite,attached,clear,exposed,no
8125,Acropora.microclados,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,20,15,FALSE,corymbose,6596,spawner,hermaphrodite,attached,clear,exposed,no
8726,Acropora.monticulosa,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,12,11,FALSE,digitate,5697,spawner,hermaphrodite,attached,clear,exposed,no
11755,Acropora.solitaryensis,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,rare,25,20,FALSE,tabular,4376,spawner,hermaphrodite,attached,clear,broad,no
19049,Caulastrea.tumida,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,40,38,FALSE,phaceloid,2727,spawner,NA,attached,both,protected,no
25859,Favia.favus,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,50,50,TRUE,massive,6990,spawner,hermaphrodite,attached,clear,protected,no
27570,Favia.speciosa,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,50,50,TRUE,massive,6902,spawner,hermaphrodite,attached,clear,broad,no
29484,Fungia.fungites,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,50,49,TRUE,solitary,7113,spawner,gonochorous,unattached,clear,protected,no
32441,Goniastrea.australensis,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,40,40,TRUE,massive,6431,spawner,hermaphrodite,attached,clear,broad,no
37103,Hydnophora.exesa,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,55,54,FALSE,encrusting,6506,spawner,hermaphrodite,attached,clear,protected,no
49194,Mycedium.elephantotus,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,70,67,FALSE,encrusting,6669,spawner,hermaphrodite,attached,clear,protected,no
51302,Pavona.decussata,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,20,19,FALSE,foliaceous,6924,spawner,NA,attached,both,broad,no
53995,Platygyra.sinensis,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,30,30,TRUE,massive,6772,spawner,hermaphrodite,attached,clear,broad,no
54495,Plesiastrea.versipora,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,40,39,TRUE,encrusting,7036,spawner,gonochorous,attached,clear,protected,no
54768,Pocillopora.damicornis,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,55,54,FALSE,branching,7431,brooder,hermaphrodite,attached,both,broad,yes
58550,Porites.stephensoni,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,uncommon,5,5,FALSE,massive,5113,brooder,NA,attached,clear,protected,yes
62563,Stylophora.pistillata,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,65,64,FALSE,branching,6767,brooder,hermaphrodite,attached,clear,exposed,yes
64385,Turbinaria.mesenterina,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,common,20,17,FALSE,foliaceous,6975,spawner,gonochorous,attached,turbid,protected,no
65019,Turbinaria.radicalis,84,0,-23.605,152.159,2.155429125,24.52312469,0.320773035,0.051204097,0.477597564,45.5868454,rare,25,23,FALSE,encrusting,2328,spawner,NA,attached,clear,broad,no
3495,Acropora.cuneata,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,15,15,FALSE,laminar,5434,brooder,hermaphrodite,attached,clear,exposed,no
5417,Acropora.gemmifera,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,15,14,FALSE,digitate,4928,spawner,hermaphrodite,attached,clear,broad,no
5652,Acropora.glauca,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,rare,20,15,TRUE,corymbose,2012,spawner,hermaphrodite,attached,both,protected,no
6592,Acropora.humilis,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,11,11,FALSE,digitate,6545,spawner,hermaphrodite,attached,clear,exposed,no
6637,Acropora.hyacinthus,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,20,15,FALSE,tabular,7903,spawner,hermaphrodite,attached,clear,exposed,no
8115,Acropora.microclados,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,uncommon,20,15,FALSE,corymbose,6596,spawner,hermaphrodite,attached,clear,exposed,no
8705,Acropora.monticulosa,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,uncommon,12,11,FALSE,digitate,5697,spawner,hermaphrodite,attached,clear,exposed,no
11841,Acropora.solitaryensis,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,rare,25,20,FALSE,tabular,4376,spawner,hermaphrodite,attached,clear,broad,no
19114,Caulastrea.tumida,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,40,38,FALSE,phaceloid,2727,spawner,NA,attached,both,protected,no
25930,Favia.favus,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,50,50,TRUE,massive,6990,spawner,hermaphrodite,attached,clear,protected,no
27558,Favia.speciosa,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,50,50,TRUE,massive,6902,spawner,hermaphrodite,attached,clear,broad,no
29496,Fungia.fungites,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,50,49,TRUE,solitary,7113,spawner,gonochorous,unattached,clear,protected,no
32384,Goniastrea.australensis,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,40,40,TRUE,massive,6431,spawner,hermaphrodite,attached,clear,broad,no
37209,Hydnophora.exesa,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,55,54,FALSE,encrusting,6506,spawner,hermaphrodite,attached,clear,protected,no
49105,Mycedium.elephantotus,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,70,67,FALSE,encrusting,6669,spawner,hermaphrodite,attached,clear,protected,no
51344,Pavona.decussata,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,20,19,FALSE,foliaceous,6924,spawner,NA,attached,both,broad,no
53992,Platygyra.sinensis,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,uncommon,30,30,TRUE,massive,6772,spawner,hermaphrodite,attached,clear,broad,no
54472,Plesiastrea.versipora,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,uncommon,40,39,TRUE,encrusting,7036,spawner,gonochorous,attached,clear,protected,no
54654,Pocillopora.damicornis,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,55,54,FALSE,branching,7431,brooder,hermaphrodite,attached,both,broad,yes
58530,Porites.stephensoni,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,uncommon,5,5,FALSE,massive,5113,brooder,NA,attached,clear,protected,yes
62510,Stylophora.pistillata,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,65,64,FALSE,branching,6767,brooder,hermaphrodite,attached,clear,exposed,yes
64470,Turbinaria.mesenterina,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,common,20,17,FALSE,foliaceous,6975,spawner,gonochorous,attached,turbid,protected,no
64942,Turbinaria.radicalis,86,0,-23.55,151.66,2.494172812,24.29812622,0.347836137,0.050785914,0.399060547,46.14463043,rare,25,23,FALSE,encrusting,2328,spawner,NA,attached,clear,broad,no
3414,Acropora.cuneata,187,0,-23.48,151.88,2.331237316,24.37687492,0.30764538,0.074197076,0.500826299,45.4498291,common,15,15,FALSE,laminar,5434,brooder,hermaphrodite,attached,clear,exposed,no
5557,Acropora.gemmifera,187,0,-23.48,151.88,2.331237316,24.37687492,0.30764538,0.074197076,0.500826299,45.4498291,common,15,14,FALSE,digitate,4928,spawner,hermaphrodite,attached,clear,broad,no
5597,Acropora.glauca,187,0,-23.48,151.88,2.331237316,24.37687492,0.30764538,0.074197076,0.500826299,45.4498291,rare,20,15,TRUE,corymbose,2012,spawner,hermaphrodite,attached,both,protected,no
6533,Acropora.humilis,187,0,-23.48,151.88,2.331237316,24.37687492,0.30764538,0.074197076,0.500826299,45.4498291,common,11,11,FALSE,digitate,6545,spawner,hermaphrodite,attached,clear,exposed,no
6713,Acropora.hyacinthus,187,0,-23.48,151.88,2.331237316,24.37687492,0.30764538,0.074197076,0.500826299,45.4498291,common,20,15,FALSE,tabular,7903,spawner,hermaphrodite,attached,clear,exposed,no
8091,Acropora.microclados,187,0,-23.48,151.88,2.331237316,24.37687492,0.30764538,0.074197076,0.500826299,45.4498291,uncommon,20,15,FALSE,corymbose,6596,spawner,hermaphrodite,attached,clear,exposed,no
8670,Acropora.monticulosa,187,0,-23.48,151.88,2.331237316,24.37687492,0.30764538,0.074197076,0.500826299,45.4498291,uncommon,12,11,FALSE,digitate,5697,spawner,hermaphrodite,attached,clear,exposed,no
