,species,site,present,Latitude,Longitude,stdev,SST_p50,Chl_50p,skewnes,TSM_50P,PAR_50P,abundance_world,depth_lower,depth_range,found_off_reef,growth_form,range_size_veron_.pixels.,reproductive_mode_.ahb.,sexual_system,substrate_attachment,water_clarity_preference,wave_exposure_preference,zooxanthellae_in_propagules_.ahb.
8825,Acropora.monticulosa,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,uncommon,12,11,FALSE,digitate,5697,spawner,hermaphrodite,attached,clear,exposed,no
11839,Acropora.solitaryensis,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,rare,25,20,FALSE,tabular,4376,spawner,hermaphrodite,attached,clear,broad,no
18986,Caulastrea.tumida,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,common,40,38,FALSE,phaceloid,2727,spawner,NA,attached,both,protected,no
25947,Favia.favus,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,common,50,50,TRUE,massive,6990,spawner,hermaphrodite,attached,clear,protected,no
27592,Favia.speciosa,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,common,50,50,TRUE,massive,6902,spawner,hermaphrodite,attached,clear,broad,no
29663,Fungia.fungites,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,common,50,49,TRUE,solitary,7113,spawner,gonochorous,unattached,clear,protected,no
32527,Goniastrea.australensis,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,common,40,40,TRUE,massive,6431,spawner,hermaphrodite,attached,clear,broad,no
37091,Hydnophora.exesa,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,common,55,54,FALSE,encrusting,6506,spawner,hermaphrodite,attached,clear,protected,no
49053,Mycedium.elephantotus,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,common,70,67,FALSE,encrusting,6669,spawner,hermaphrodite,attached,clear,protected,no
51461,Pavona.decussata,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,common,20,19,FALSE,foliaceous,6924,spawner,NA,attached,both,broad,no
54147,Platygyra.sinensis,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,uncommon,30,30,TRUE,massive,6772,spawner,hermaphrodite,attached,clear,broad,no
54440,Plesiastrea.versipora,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,uncommon,40,39,TRUE,encrusting,7036,spawner,gonochorous,attached,clear,protected,no
54622,Pocillopora.damicornis,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,common,55,54,FALSE,branching,7431,brooder,hermaphrodite,attached,both,broad,yes
58573,Porites.stephensoni,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,uncommon,5,5,FALSE,massive,5113,brooder,NA,attached,clear,protected,yes
62580,Stylophora.pistillata,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,common,65,64,FALSE,branching,6767,brooder,hermaphrodite,attached,clear,exposed,yes
64357,Turbinaria.mesenterina,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,common,20,17,FALSE,foliaceous,6975,spawner,gonochorous,attached,turbid,protected,no
65074,Turbinaria.radicalis,149,0,-34.776,138.147,3.156919003,17.40187454,1.160708904,0.10002286,1.090862513,39.01578522,rare,25,23,FALSE,encrusting,2328,spawner,NA,attached,clear,broad,no
3482,Acropora.cuneata,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,15,15,FALSE,laminar,5434,brooder,hermaphrodite,attached,clear,exposed,no
5442,Acropora.gemmifera,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,15,14,FALSE,digitate,4928,spawner,hermaphrodite,attached,clear,broad,no
5720,Acropora.glauca,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,rare,20,15,TRUE,corymbose,2012,spawner,hermaphrodite,attached,both,protected,no
6564,Acropora.humilis,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,11,11,FALSE,digitate,6545,spawner,hermaphrodite,attached,clear,exposed,no
6754,Acropora.hyacinthus,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,20,15,FALSE,tabular,7903,spawner,hermaphrodite,attached,clear,exposed,no
8218,Acropora.microclados,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,uncommon,20,15,FALSE,corymbose,6596,spawner,hermaphrodite,attached,clear,exposed,no
8745,Acropora.monticulosa,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,uncommon,12,11,FALSE,digitate,5697,spawner,hermaphrodite,attached,clear,exposed,no
11928,Acropora.solitaryensis,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,rare,25,20,FALSE,tabular,4376,spawner,hermaphrodite,attached,clear,broad,no
19097,Caulastrea.tumida,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,40,38,FALSE,phaceloid,2727,spawner,NA,attached,both,protected,no
25912,Favia.favus,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,50,50,TRUE,massive,6990,spawner,hermaphrodite,attached,clear,protected,no
27435,Favia.speciosa,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,50,50,TRUE,massive,6902,spawner,hermaphrodite,attached,clear,broad,no
29538,Fungia.fungites,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,50,49,TRUE,solitary,7113,spawner,gonochorous,unattached,clear,protected,no
32495,Goniastrea.australensis,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,40,40,TRUE,massive,6431,spawner,hermaphrodite,attached,clear,broad,no
37185,Hydnophora.exesa,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,55,54,FALSE,encrusting,6506,spawner,hermaphrodite,attached,clear,protected,no
49139,Mycedium.elephantotus,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,70,67,FALSE,encrusting,6669,spawner,hermaphrodite,attached,clear,protected,no
51316,Pavona.decussata,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,20,19,FALSE,foliaceous,6924,spawner,NA,attached,both,broad,no
53989,Platygyra.sinensis,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,uncommon,30,30,TRUE,massive,6772,spawner,hermaphrodite,attached,clear,broad,no
54464,Plesiastrea.versipora,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,uncommon,40,39,TRUE,encrusting,7036,spawner,gonochorous,attached,clear,protected,no
54650,Pocillopora.damicornis,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,55,54,FALSE,branching,7431,brooder,hermaphrodite,attached,both,broad,yes
58513,Porites.stephensoni,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,uncommon,5,5,FALSE,massive,5113,brooder,NA,attached,clear,protected,yes
62464,Stylophora.pistillata,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,65,64,FALSE,branching,6767,brooder,hermaphrodite,attached,clear,exposed,yes
64395,Turbinaria.mesenterina,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,common,20,17,FALSE,foliaceous,6975,spawner,gonochorous,attached,turbid,protected,no
64957,Turbinaria.radicalis,202,0,-29.93,153.4,2.178726673,22.27312469,0.596937299,0.179456592,0.386524886,41.63200378,rare,25,23,FALSE,encrusting,2328,spawner,NA,attached,clear,broad,no
3448,Acropora.cuneata,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,15,15,FALSE,laminar,5434,brooder,hermaphrodite,attached,clear,exposed,no
5556,Acropora.gemmifera,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,15,14,FALSE,digitate,4928,spawner,hermaphrodite,attached,clear,broad,no
5735,Acropora.glauca,62,1,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,rare,20,15,TRUE,corymbose,2012,spawner,hermaphrodite,attached,both,protected,no
6551,Acropora.humilis,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,11,11,FALSE,digitate,6545,spawner,hermaphrodite,attached,clear,exposed,no
6797,Acropora.hyacinthus,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,common,20,15,FALSE,tabular,7903,spawner,hermaphrodite,attached,clear,exposed,no
8232,Acropora.microclados,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,uncommon,20,15,FALSE,corymbose,6596,spawner,hermaphrodite,attached,clear,exposed,no
8819,Acropora.monticulosa,62,0,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,uncommon,12,11,FALSE,digitate,5697,spawner,hermaphrodite,attached,clear,exposed,no
11918,Acropora.solitaryensis,62,1,-29.922,153.386,2.188835859,22.35187531,0.665786564,0.180064082,0.391190052,41.33479309,rare,25,20,FALSE,tabular,4376,spawner,hermaphrodite,attached,clear,broad,no
